"ID","Player","Team","Position","Salary","FPts","FP/G","Ros %","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060ko*","Max Verstappen","null","null","51","29","29","100%","0%","1","57","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0"
"*060kw*","Fernando Alonso","null","null","30","23","23","93%","0%","1","57","1","1","0","0","3","2","0","5","0","0","0","0","0","0","0"
"*060kq*","Sergio Perez","null","null","37","19","19","100%","0%","1","57","1","0","0","0","2","0","0","2","0","0","0","0","0","0","0"
"*060kn*","Lewis Hamilton","null","null","33","18","18","93%","0%","1","57","1","1","0","0","5","2","0","7","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","null","null","17","16","16","100%","0%","1","57","1","1","0","0","8","4","0","12","0","0","0","0","0","0","0"
"*060kt*","Carlos Sainz","null","null","28","16","16","100%","0%","1","57","1","1","0","0","4","0","0","4","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","null","null","13","16","16","73%","0%","1","57","1","1","0","0","9","11","0","20","0","0","0","0","0","0","0"
"*060l4*","Alexander Albon","null","null","9","15","15","87%","0%","1","57","1","1","0","0","10","5","0","15","0","0","0","0","0","0","0"
"*060kz*","Lance Stroll","null","null","19","13","13","93%","0%","1","57","1","0","0","0","6","2","0","8","0","0","0","0","0","0","0"
"*060mt*","Kevin Magnussen","null","null","9","12","12","93%","0%","1","56","1","1","0","0","13","4","0","17","0","0","0","0","0","0","0"
"*060n6*","Nyck de Vries","null","null","6","11","11","80%","0%","1","56","1","0","0","0","14","5","0","19","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","null","null","7","10","10","67%","0%","1","57","1","1","0","0","11","3","0","14","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","null","null","4","9","9","60%","0%","1","56","1","0","0","0","12","4","0","16","0","0","0","0","0","0","0"
"*060l1*","George Russell","null","null","25","5","5","100%","0%","1","57","1","0","0","0","7","0","1","6","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","null","null","20","0","0","38%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l2*","Nicholas Latifi","null","null","10","0","0","31%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","null","null","5","0","0","31%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ah1*","Felipe Drugovich","null","null","15","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","null","null","8","-5","-5","67%","0%","1","56","1","0","0","0","16","0","3","13","0","0","0","0","0","0","0"
"*060ks*","Lando Norris","null","null","12","-6","-6","93%","0%","1","55","1","1","0","0","17","0","6","11","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","null","null","7","-9","-9","93%","0%","1","56","1","0","0","0","15","0","5","10","0","0","0","0","0","0","0"
"*060n1*","Oscar Piastri","null","null","3","-14","-14","87%","0%","1","13","0","0","1","0","20","0","2","18","0","0","0","0","0","0","0"
"*060kr*","Charles Leclerc","null","null","36","-20","-20","87%","0%","1","39","0","0","1","0","19","0","16","3","0","0","0","0","0","0","0"
"*060kx*","Esteban Ocon","null","null","11","-20","-20","73%","0%","1","41","0","0","1","0","18","0","9","9","0","0","0","0","0","0","0"
