"ID","Player","Team","Position","Salary","FPts","FP/G","Ros %","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060ko*","Max Verstappen","null","null","55","39","39","96%","-","1","57","1","1","0","0","1","8","0","9","0","0","0","0","0","0","0"
"*060l1*","George Russell","null","null","26","20","20","89%","-","1","57","1","1","0","0","4","2","0","6","0","0","0","0","0","0","0"
"*060kn*","Lewis Hamilton","null","null","35","19","19","60%","-","1","57","1","0","0","0","6","7","0","13","0","0","0","0","0","0","0"
"*060kq*","Sergio Perez","null","null","49","17","17","92%","-","1","57","1","0","0","0","2","0","1","1","0","0","0","0","0","0","0"
"*060kw*","Fernando Alonso","null","null","42","17","17","75%","-","1","57","1","1","0","0","3","0","1","2","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","null","null","22","14","14","74%","-","1","57","1","1","0","0","11","6","0","17","0","0","0","0","0","0","0"
"*060kz*","Lance Stroll","null","null","18","11","11","89%","-","1","57","1","0","0","0","12","6","0","18","0","0","0","0","0","0","0"
"*060kt*","Carlos Sainz","null","null","28","10","10","92%","-","1","57","1","1","0","0","5","0","2","3","0","0","0","0","0","0","0"
"*060kr*","Charles Leclerc","null","null","25","7","7","81%","-","1","57","1","0","0","0","7","0","0","7","0","0","0","0","0","0","0"
"*060ks*","Lando Norris","null","null","12","2","2","71%","-","1","57","1","1","0","0","17","0","1","16","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","null","null","21","2","2","61%","-","1","57","1","1","0","0","8","0","3","5","0","0","0","0","0","0","0"
"*060kx*","Esteban Ocon","null","null","7","1","1","66%","-","1","57","1","0","0","0","9","0","1","8","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","null","null","14","1","1","62%","-","1","56","1","0","0","0","20","0","0","20","0","0","0","0","0","0","0"
"*060n1*","Oscar Piastri","null","null","3","1","1","48%","-","1","56","1","0","0","0","19","0","0","19","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","null","null","5","0","0","11%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l2*","Nicholas Latifi","null","null","10","0","0","4%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","null","null","20","0","0","3%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ah1*","Felipe Drugovich","null","null","15","0","0","0%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l4*","Alexander Albon","null","null","6","-2","-2","90%","-","1","57","1","1","0","0","14","0","3","11","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","null","null","11","-2","-2","86%","-","1","57","1","1","0","0","13","0","3","10","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","null","null","4","-3","-3","62%","-","1","57","1","0","0","0","16","0","2","14","0","0","0","0","0","0","0"
"*060mt*","Kevin Magnussen","null","null","17","-5","-5","75%","-","1","57","1","1","0","0","10","0","6","4","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","null","null","8","-5","-5","72%","-","1","57","1","0","0","0","15","0","3","12","0","0","0","0","0","0","0"
"*060n6*","Nyck de Vries","null","null","9","-5","-5","47%","-","1","57","1","0","0","0","18","0","3","15","0","0","0","0","0","0","0"
