"ID","Player","Team","Position","Salary","FPts","FP/G","Ros","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060kt*","Carlos Sainz","Ferrari","null","44","0","0","94%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l1*","George Russell","Mercedes","null","31","0","0","93%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ks*","Lando Norris","McLaren","null","52","0","0","87%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","Haas F1","null","13","0","0","84%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","RB","null","4","0","0","83%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kw*","Fernando Alonso","Aston Martin","null","11","0","0","80%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","Alpine","null","6","0","0","79%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kz*","Lance Stroll","Aston Martin","null","9","0","0","78%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kn*","Lewis Hamilton","Mercedes","null","37","0","0","77%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06fuu*","Liam Lawson","RB","null","15","0","0","77%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060mt*","Kevin Magnussen","Haas F1","null","12","0","0","76%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kr*","Charles Leclerc","Ferrari","null","53","0","0","74%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ko*","Max Verstappen","Red Bull","null","59","0","0","74%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kq*","Sergio Perez","Red Bull","null","27","0","0","71%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060n1*","Oscar Piastri","McLaren","null","48","0","0","63%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l4*","Alexander Albon","Williams","null","3","0","0","57%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","Kick Sauber","null","8","0","0","55%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kx*","Esteban Ocon","Alpine","null","14","0","0","48%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","Kick Sauber","null","18","0","0","40%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","","null","5","0","0","26%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","Williams","null","5","0","0","16%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06igp*","Pato O'Ward","McLaren","null","5","0","0","11%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06igo*","Ryo Hirakawa","McLaren","null","5","0","0","5%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ign*","Theo Pourchaire","Kick Sauber","null","5","0","0","4%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","Mercedes","null","10","0","0","4%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ah1*","Felipe Drugovich","Aston Martin","null","10","0","0","3%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
