"ID","Player","Team","Position","Salary","FPts","FP/G","Ros","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060ko*","Max Verstappen","null","null","69","33","33","90%","-","1","50","1","1","0","0","1","2","0","3","0","0","0","0","0","0","0"
"*060kq*","Sergio Perez","null","null","47","26","26","74%","-","1","50","1","0","0","0","3","9","0","12","0","0","0","0","0","0","0"
"*060kx*","Esteban Ocon","null","null","8","26","26","46%","-","1","50","1","1","0","0","4","13","0","17","0","0","0","0","0","0","0"
"*060kz*","Lance Stroll","null","null","18","24","24","80%","-","1","50","1","1","0","0","5","9","0","14","0","0","0","0","0","0","0"
"*060kr*","Charles Leclerc","null","null","23","20","20","78%","-","1","50","1","1","0","0","2","0","1","1","0","0","0","0","0","0","0"
"*060kn*","Lewis Hamilton","null","null","42","18","18","58%","-","1","50","1","1","0","0","7","4","0","11","0","0","0","0","0","0","0"
"*060n1*","Oscar Piastri","null","null","15","15","15","89%","-","1","50","1","1","0","0","10","9","0","19","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","null","null","12","10","10","50%","-","1","50","1","1","0","0","15","3","0","18","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","null","null","14","6","6","45%","-","1","50","1","1","0","0","14","1","0","15","0","0","0","0","0","0","0"
"*060kw*","Fernando Alonso","null","null","38","5","5","86%","-","1","50","1","0","0","0","9","1","0","10","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","null","null","11","5","5","67%","-","1","46","1","0","0","0","18","2","0","20","0","0","0","0","0","0","0"
"*060kt*","Carlos Sainz","null","null","32","1","1","85%","-","1","50","1","0","0","0","6","0","4","2","0","0","0","0","0","0","0"
"*060n6*","Nyck de Vries","null","null","5","0","0","24%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","null","null","5","0","0","12%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l2*","Nicholas Latifi","null","null","10","0","0","4%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ah1*","Felipe Drugovich","null","null","10","0","0","2%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l1*","George Russell","null","null","30","-3","-3","80%","-","1","50","1","0","0","0","8","0","4","4","0","0","0","0","0","0","0"
"*060mt*","Kevin Magnussen","null","null","4","-4","-4","71%","-","1","50","1","1","0","0","13","0","4","9","0","0","0","0","0","0","0"
"*060l4*","Alexander Albon","null","null","16","-6","-6","89%","-","1","50","1","1","0","0","12","0","6","6","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","null","null","7","-9","-9","80%","-","1","50","1","0","0","0","17","0","9","8","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","null","null","6","-9","-9","55%","-","1","50","1","0","0","0","16","0","9","7","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","null","null","3","-9","-9","49%","-","1","45","1","0","0","0","19","0","6","13","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","null","null","20","-9","-9","46%","-","1","50","1","0","0","0","11","0","6","5","0","0","0","0","0","0","0"
"*060ks*","Lando Norris","null","null","36","-18","-18","84%","-","1","2","0","0","1","0","20","0","4","16","0","0","0","0","0","0","0"
